Date,Time,milisecond,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,
2019-5-15,12h59m58s,0ms,27.3815,28.9911,1.32296,1372,2.08286,400,0.00337224,1000,0.00431067,1768,20,789.686,
2019-5-15,12h59m58s,187ms,27.3815,28.9911,1.32296,1372,2.08286,400,0.00337224,1000,0.00431067,1768,20,789.686,
2019-5-15,12h59m58s,375ms,27.3815,28.9911,1.08186,1372,2.08286,400,0.00337224,1000,0.00431067,1768,20,789.686,
2019-5-15,12h59m58s,562ms,27.3815,28.9911,1.08186,1372,1.91501,400,0.00337224,1000,0.00431067,1768,20,789.686,
2019-5-15,12h59m58s,749ms,27.3815,28.9911,1.08186,1372,1.91501,400,0.00303655,1000,0.00438697,1768,20,789.686,
2019-5-15,12h59m58s,936ms,27.3815,28.9911,1.08186,1372,1.91501,400,0.00303655,1000,0.00438697,1768,20,789.686,
2019-5-15,12h59m59s,123ms,27.3815,28.9911,1.08186,1372,1.91501,400,0.00303655,1000,0.00438697,1768,20,1820,
2019-5-15,12h59m59s,311ms,27.3815,29.0986,1.31075,1372,1.91501,400,0.00303655,1000,0.00438697,1768,20,1820,
2019-5-15,12h59m59s,498ms,27.3815,29.0986,1.31075,1372,2.09812,400,0.00303655,1000,0.00438697,1768,20,1820,
2019-5-15,12h59m59s,685ms,27.3815,29.0986,1.31075,1372,2.09812,400,0.00331121,1000,0.00438697,1768,20,1820,
2019-5-15,12h59m59s,872ms,27.3815,29.0986,1.31075,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-15,13h0m0s,59ms,27.3815,29.0986,1.31075,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-15,13h0m0s,247ms,27.3815,29.0986,1.31075,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-15,13h0m0s,434ms,27.3815,29.0986,1.29549,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-15,13h0m0s,621ms,27.3815,29.0986,1.29549,1372,2.12863,400,0.00318914,1000,0.00423438,1768,20,1820,
2019-5-15,13h0m0s,808ms,27.3815,29.0986,1.29549,1372,2.12863,400,0.00318914,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m0s,995ms,27.3815,29.0986,1.29549,1372,2.12863,400,0.00318914,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m1s,183ms,27.3815,29.0986,1.29549,1372,2.12863,400,0.00318914,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m1s,370ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00318914,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m1s,557ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00318914,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m1s,744ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m1s,931ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m2s,119ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m2s,306ms,27.3815,29.0986,1.30159,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m2s,493ms,27.3815,29.0986,1.30159,1372,2.18967,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m2s,680ms,27.3815,29.0986,1.30159,1372,2.18967,400,0.00315862,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m2s,867ms,27.3815,29.0986,1.30159,1372,2.18967,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m3s,55ms,27.3815,29.0986,1.30159,1372,2.18967,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m3s,242ms,27.3815,29.0986,1.32906,1372,2.18967,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m3s,429ms,27.3815,29.0986,1.32906,1372,2.12863,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m3s,616ms,27.3815,29.0986,1.32906,1372,2.12863,400,0.00337224,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m3s,803ms,27.3815,29.0986,1.32906,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m3s,991ms,27.3815,29.0986,1.32906,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m4s,178ms,27.3815,29.0986,1.32906,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
