Date,Time,milisecond,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,
2019-5-16,9h58m41s,0ms,25.3771,27.7862,1.31991,554.47,2.11337,400,0.00163272,52.5821,0.00446326,1768,20,1820,
2019-5-16,9h58m41s,187ms,25.3771,27.7862,1.31991,554.47,2.11337,400,0.00163272,52.5821,0.00156405,1768,20,1820,
2019-5-16,9h58m41s,374ms,25.3771,27.7862,1.31991,554.47,2.11337,400,0.00163272,52.5821,0.00156405,1768,20,1820,
2019-5-16,9h58m41s,562ms,25.4773,27.7862,1.23445,554.47,2.11337,400,0.00163272,52.5821,0.00156405,1768,20,1820,
2019-5-16,9h58m41s,749ms,25.4773,27.7862,1.23445,1372,1.97604,400,0.00163272,52.5821,0.00156405,1768,20,1820,
2019-5-16,9h58m41s,936ms,25.4773,27.7862,1.23445,1372,1.97604,400,0.0031281,52.5821,0.00156405,1768,20,1820,
2019-5-16,9h58m42s,123ms,25.4773,27.7862,1.23445,1372,1.97604,400,0.0031281,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m42s,310ms,25.4773,27.7862,1.23445,1372,1.97604,400,0.0031281,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m42s,498ms,25.4773,27.7862,1.23445,1372,1.97604,400,0.0031281,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m42s,685ms,25.4773,27.7862,1.31075,1372,2.08286,400,0.0031281,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m42s,872ms,25.4773,27.7862,1.31075,1372,2.08286,400,0.00331121,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m43s,59ms,25.4773,27.7862,1.31075,1372,2.08286,400,0.00331121,1000,0.00415808,1768,20,1820,
2019-5-16,9h58m43s,246ms,25.4773,27.7862,1.31075,1372,2.08286,400,0.00331121,1000,0.00415808,1768,20,1820,
2019-5-16,9h58m43s,434ms,25.4773,27.7862,1.31075,1372,2.08286,400,0.00331121,1000,0.00415808,1768,20,1820,
2019-5-16,9h58m43s,621ms,25.4773,27.7862,1.28634,1372,2.08286,400,0.00331121,1000,0.00415808,1768,20,1820,
2019-5-16,9h58m43s,808ms,25.4773,27.7862,1.28634,1372,2.09812,400,0.00315862,1000,0.00415808,1768,20,1820,
2019-5-16,9h58m43s,995ms,25.4773,27.7862,1.28634,1372,2.09812,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m44s,153ms,25.4773,27.7862,1.28634,1372,2.09812,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m44s,273ms,25.4773,27.7862,1.28634,1372,2.09812,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m44s,393ms,25.4773,27.7862,1.28634,1372,2.09812,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m44s,513ms,25.4773,27.7862,1.28634,1372,2.09812,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m44s,633ms,25.4773,27.7862,1.28328,1372,2.09812,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m44s,776ms,25.4773,27.7862,1.28328,1372,2.11337,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m44s,963ms,25.4773,27.7862,1.28328,1372,2.11337,400,0.00321965,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m45s,150ms,25.4773,27.7862,1.28328,1372,2.11337,400,0.00321965,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m45s,337ms,25.4773,27.7862,1.28328,1372,2.11337,400,0.00321965,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m45s,524ms,25.4773,27.7862,1.29854,1372,2.11337,400,0.00321965,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m45s,712ms,25.4773,27.7862,1.29854,1372,2.02182,400,0.00321965,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m45s,899ms,25.4773,27.7862,1.29854,1372,2.02182,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m46s,86ms,25.4773,27.7862,1.29854,1372,2.02182,400,0.00331121,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m46s,273ms,25.4773,27.7862,1.29854,1372,2.02182,400,0.00331121,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m46s,460ms,25.4773,27.7862,1.31685,1372,2.02182,400,0.00331121,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m46s,648ms,25.4773,27.7862,1.31685,1372,2.12863,400,0.00331121,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m46s,835ms,25.4773,27.7862,1.31685,1372,2.12863,400,0.00328069,1000,0.00438697,1768,20,1820,
2019-5-16,9h58m47s,22ms,25.4773,27.7862,1.31685,1372,2.12863,400,0.00328069,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m47s,209ms,25.4773,27.7862,1.31685,1372,2.12863,400,0.00328069,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m47s,396ms,25.5775,27.8938,1.31685,1372,2.12863,400,0.00328069,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m47s,584ms,25.5775,27.8938,1.29854,1372,2.03708,400,0.00328069,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m47s,771ms,25.5775,27.8938,1.29854,1372,2.03708,400,0.00328069,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m47s,958ms,25.5775,27.8938,1.29854,1372,2.03708,400,0.00328069,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m48s,145ms,25.5775,27.8938,1.29854,1372,2.03708,400,0.00328069,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m48s,332ms,25.4773,27.7862,1.29854,1372,2.03708,400,0.00328069,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m48s,520ms,25.4773,27.7862,1.32296,1372,2.03708,400,0.00328069,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m48s,707ms,25.4773,27.7862,1.32296,1372,2.09812,400,0.00328069,1000,0.00446326,1768,20,1820,
